,0,1,2,3,4,5,6,7,8,Minimum distance
44,37.71715,-122.40433,Visitacion Valley,US,America/Los_Angeles,37.55715,37.87714999999999,-122.56433,-122.24433,7897.3881615782275
45,33.45122,-86.99666,Hueytown,US,America/Chicago,33.29122,33.611219999999996,-87.15666,-86.83666000000001,16680.57424293329
46,40.81,-73.9625,Morningside Heights,US,America/New_York,40.650000000000006,40.97,-74.1225,-73.80250000000001,3485.9819758086815
47,33.7207,-116.21677,Indio,US,America/Los_Angeles,33.560700000000004,33.8807,-116.37677,-116.05677,11692.450302071305
48,45.0408,-93.263,Columbia Heights,US,America/Chicago,44.8808,45.200799999999994,-93.423,-93.10300000000001,7321.734183748966
49,41.6764,-91.58045,Coralville,US,America/Chicago,41.516400000000004,41.8364,-91.74045,-91.42045,5741.632020271319
50,42.97086,-82.42491,Port Huron,US,America/Detroit,42.810860000000005,43.13086,-82.58491,-82.26491,666.3080174268902
51,33.08014,-83.2321,Milledgeville,US,America/New_York,32.92014,33.24014,-83.3921,-83.0721,8233.563073865731
52,29.53885,-95.44744,Fresno,US,America/Chicago,29.37885,29.69885,-95.60744,-95.28744,5172.710063949278
53,43.54072,-116.56346,Nampa,US,America/Boise,43.380720000000004,43.70072,-116.72346,-116.40346000000001,5542.035285285606
54,37.60876,-77.37331,Mechanicsville,US,America/New_York,37.44876,37.76875999999999,-77.53331,-77.21331,11622.807355302382
55,41.55815,-73.0515,Waterbury,US,America/New_York,41.39815,41.718149999999994,-73.2115,-72.89150000000001,10767.599747261005
56,35.88264,-80.08199,Thomasville,US,America/New_York,35.722640000000006,36.04264,-80.24199,-79.92199000000001,23012.444644147614
57,39.72943,-104.83192,Aurora,US,America/Denver,39.569430000000004,39.88943,-104.99192,-104.67192,3775.9648206267066
58,44.27804,-88.27205,Kaukauna,US,America/Chicago,44.11804,44.438039999999994,-88.43204999999999,-88.11205,19594.787975855284
59,29.84576,-90.10674,Estelle,US,America/Chicago,29.68576,30.00576,-90.26674,-89.94674,9240.634985166917
60,38.06084,-97.92977,Hutchinson,US,America/Chicago,37.90084,38.220839999999995,-98.08977,-97.76977000000001,6052.712500669864
61,42.30865,-83.48216,Canton,US,America/Detroit,42.14865,42.46865,-83.64215999999999,-83.32216,9391.670168638784
62,33.93113,-117.54866,Norco,US,America/Los_Angeles,33.77113000000001,34.09113,-117.70866,-117.38866,6151.102132810123
63,34.14251,-118.25508,Glendale,US,America/Los_Angeles,33.982510000000005,34.30251,-118.41508,-118.09508000000001,11309.401230161511
64,39.33427,-76.43941,Middle River,US,America/New_York,39.17427,39.49426999999999,-76.59940999999999,-76.27941,1937.2856355560084
65,42.4251,-71.06616,Malden,US,America/New_York,42.265100000000004,42.5851,-71.22616,-70.90616,8447.637805428305
66,32.42067,-104.22884,Carlsbad,US,America/Denver,32.260670000000005,32.58067,-104.38884,-104.06884000000001,9995.19106797689
67,41.47892,-87.45476,Schererville,US,America/Chicago,41.318920000000006,41.63892,-87.61475999999999,-87.29476,9359.499439602678
68,37.95143,-91.77127,Rolla,US,America/Chicago,37.791430000000005,38.11143,-91.93127,-91.61127,19933.844327477214
69,39.57582,-105.11221,Ken Caryl,US,America/Denver,39.415820000000004,39.73582,-105.27221,-104.95221000000001,22625.141112866928
70,45.0408,-93.263,Columbia Heights,US,America/Chicago,44.8808,45.200799999999994,-93.423,-93.10300000000001,7321.734183748966
71,36.91023,-121.75689,Watsonville,US,America/Los_Angeles,36.75023,37.070229999999995,-121.91689,-121.59689,3434.8017945789443
72,26.18924,-98.15529,San Juan,US,America/Chicago,26.02924,26.34924,-98.31528999999999,-97.99529,9884.016490733173
73,46.32374,-120.00865,Sunnyside,US,America/Los_Angeles,46.163740000000004,46.48374,-120.16865,-119.84865,41438.90611621294
74,39.57582,-105.11221,Ken Caryl,US,America/Denver,39.415820000000004,39.73582,-105.27221,-104.95221000000001,22625.141112866928
75,40.34912,-111.90466,Saratoga Springs,US,America/Denver,40.18912,40.509119999999996,-112.06466,-111.74466000000001,21151.97403901872
76,41.75338,-86.11084,Granger,US,America/Indiana/Indianapolis,41.59338,41.91338,-86.27083999999999,-85.95084,11377.148115685108
77,43.61062,-72.97261,Rutland,US,America/New_York,43.45062,43.770619999999994,-73.13261,-72.81261,8815.17420076855
78,29.84576,-90.10674,Estelle,US,America/Chicago,29.68576,30.00576,-90.26674,-89.94674,9240.634985166917
79,47.38093,-122.23484,Kent,US,America/Los_Angeles,47.22093,47.540929999999996,-122.39484,-122.07484000000001,9211.881745873852
80,40.72371,-73.95097,Greenpoint,US,America/New_York,40.56371,40.883709999999994,-74.11097,-73.79097,5514.037697855184
81,42.30865,-83.48216,Canton,US,America/Detroit,42.14865,42.46865,-83.64215999999999,-83.32216,9391.670168638784
82,44.99012,-123.02621,Keizer,US,America/Los_Angeles,44.83012,45.150119999999994,-123.18621,-122.86621000000001,9666.408771282466
83,41.55815,-73.0515,Waterbury,US,America/New_York,41.39815,41.718149999999994,-73.2115,-72.89150000000001,10767.599747261005
84,41.47892,-87.45476,Schererville,US,America/Chicago,41.318920000000006,41.63892,-87.61475999999999,-87.29476,9359.499439602678
85,31.12406,-97.90308,Copperas Cove,US,America/Chicago,30.96406,31.28406,-98.06308,-97.74308,9204.790467736459
86,29.53885,-95.44744,Fresno,US,America/Chicago,29.37885,29.69885,-95.60744,-95.28744,5172.710063949278
87,31.12406,-97.90308,Copperas Cove,US,America/Chicago,30.96406,31.28406,-98.06308,-97.74308,9204.790467736459
88,28.15112,-82.46148,Lutz,US,America/New_York,27.99112,28.31112,-82.62147999999999,-82.30148,18198.744123383
89,40.81,-73.9625,Morningside Heights,US,America/New_York,40.650000000000006,40.97,-74.1225,-73.80250000000001,3485.9819758086815
90,41.72059,-87.70172,Evergreen Park,US,America/Chicago,41.560590000000005,41.88059,-87.86171999999999,-87.54172,8382.566889849235
91,34.21639,-119.0376,Camarillo,US,America/Los_Angeles,34.05639,34.376389999999994,-119.1976,-118.8776,4184.136073691755
92,33.54428,-84.23381,Stockbridge,US,America/New_York,33.384280000000004,33.70428,-84.39381,-84.07381000000001,21538.207180395984
